	H	L	M	S1	S2	S3	aveCitationCnt	aveH-Index	aveJIF	avePaperCnt	award
2423863694	0	1	0	0	0	0	0.0	5.0	0.0	0.0	0
2435248972	0	1	0	0	0	0	2.5691276510604237	10.2	0.9295112701626786	42.4	0
2101266726	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
1811820982	0	1	0	0	0	0	63.6	3.6	1.2678089432223294	1.0	0
2106520669	0	1	0	0	0	0	8.8	7.8	0.4100712495061621	0.8	0
2101240970	0	1	0	0	0	0	51.24000000000001	17.6	4.014596992436002	3.8	0
2169407879	0	1	0	0	0	0	13.573333333333334	5.8	1.5296593253751096	2.8	0
2114795606	0	1	0	0	0	0	14.933333333333335	5.4	1.8514677629455785	1.2	0
2117568215	0	1	0	0	0	0	43.06666666666666	2.2	2.5688672928346863	0.8	0
2101519778	0	1	0	0	0	0	11.073333333333334	4.6	0.5777417365366062	2.0	0
2156498571	0	0	1	0	0	0	14.607528436475807	26.0	1.938682678608865	13.6	0
2485801996	0	1	0	0	0	0	0.0	6.0	0.0	0.0	0
2430783453	0	1	0	0	0	0	7.2	1.8	0.37241936871183423	1.8	0
259118630	0	1	0	0	0	0	26.04	7.4	1.2602726007372709	4.2	0
2130968869	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2342412496	0	1	0	0	0	0	40.07666666666667	25.8	2.412069566220952	6.6	0
2102037186	0	1	0	0	0	0	16.433333333333334	1.4	0.5482717534513375	1.0	0
2104169870	0	1	0	0	0	0	7.914285714285714	13.2	4.764616046811062	3.2	0
2124222436	0	1	0	0	0	0	15.916666666666664	12.6	2.9559084482088767	3.0	0
2463523865	0	1	0	0	0	0	2.333333333333333	5.0	0.42941483789723855	1.4	0
2147533149	0	0	1	0	0	0	43.5	38.4	6.259517355516431	3.6	0
2618341169	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2156431734	0	1	0	0	0	0	26.89227272727272	21.0	3.8025968486349497	7.4	0
2471503937	0	1	0	0	0	0	9.46	13.2	2.1563842493579517	3.0	0
2004954964	0	1	0	0	0	0	3.8	1.2	0.09202628973662287	0.4	0
2164782366	0	1	0	0	0	0	12.233333333333334	5.8	1.0873570156705823	2.0	0
2304494935	0	1	0	0	0	0	6.6	7.6	1.3625223883252937	1.4	0
2307619098	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2096271176	0	0	1	0	0	0	37.37490196078432	25.6	2.3007529555653723	15.4	0
2243713403	0	1	0	0	0	0	1.2666666666666668	2.8	0.7081694992285705	3.2	0
2154120132	0	1	0	0	0	0	12.733333333333334	1.8	0.3991190476190476	1.2	0
2150860615	0	1	0	0	0	0	13.99098079515537	24.6	1.5099889639488446	25.8	0
2111471200	0	1	0	0	0	0	47.4111111111111	10.4	0.7512346515806833	4.2	0
2600321636	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2620217620	0	1	0	0	0	0	8.0	1.2	1.2076234089380395	0.8	0
2126664890	1	0	0	0	0	0	8.7	30.0	3.768317371031293	1.2	0
1993688379	0	1	0	0	0	0	3.3	2.2	0.7534908423329868	1.6	0
2136953855	0	1	0	0	0	0	5.256666666666666	7.6	2.165570620888435	7.6	0
2104908036	0	1	0	0	0	0	4.6	0.4	0.14031413612565444	0.4	0
