上海交通大学	Shanghai Jiao Tong University
上海大学	Shanghai University
上海市中医药研究院	Shanghai Institute of traditional Chinese Medicine
上海师范大学	Shanghai Normal University
上海第二医科大学	Shanghai Jiao Tong University School of Medicine
上海药物研究所	Chinese Academy of Sciences Shanghai Institute of Materia Medica
东北大学	Northeastern University（NEU）
东北师范大学	Northeast Normal University
东华理工大学	East China University of Technology
东南大学	Southeast University
中北大学	North University of China
中南大学	Central South University 
中国中医科学院	China Academy Chinese Medical Sciences
中国人民大学	Renmin University of China
中国人民解放军信息工程大学	Information Engineering University
中国人民解放军军事医学科学院	Academy of Military Medical Sciences
中国人民解放军国防科学技术大学	National University of Defense Technology
中国人民解放军总医院	The General Hospital of the People's Liberation Army (PLAGH)
中国人民解放军总参谋部第五十六研究所	
中国人民解放军理工大学	
中国人民解放军空军雷达学院	Air Force Early Warning Academy
中国人民解放军第一军医大学	Southern Medical University
中国人民解放军第三军医大学	Third Military Medical University
中国人民解放军第三０二医院	
中国人民解放军第三０四医院	Fourth Medical Center of PLA General Hospital
中国人民解放军第二军医大学	The Second Military Medical University
中国人民解放军第四军医大学	The Fourth Military Medical University
中国人民解放军装甲兵工程学院	
中国农业大学	China Agricultural University
中国农业科学院	Chinese Academy of Agricultural Sciences
中国农业科学院农业经济与发展研究所	Institute of Agricultural Economics and development, CAAS
中国农业科学院农业经济研究所	
中国农业科学院哈尔滨兽医研究所	Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences 
中国农业科学院棉花研究所	Cotton Research Institute, CAAS
中国农业科学院植物保护研究所	The Institute of Plant Protection, Chinese Academy of Agricultural Sciences 
中国农业科学院生物技术研究所	Biotechnology Research  Institute, CAAS
中国农业科学院蔬菜花卉研究所	The Institute of Vegetables and Flowers Chinese Academy of Agricultural Sciences
中国医学科学院	Chinese Academy of Medical Sciences
中国原子能科学研究院	China institute of atomic energy
中国地质博物馆	The Geological Museum of China
中国地质大学（北京）	China University of Geosciences, Beijing
中国地质大学（武汉）	China University of Geosciences, Wuhan
中国地质科学院地质研究所	The Institute of Geology, Chinese Academy of Geological Sciences
中国地震局地球物理研究所	Institute of Geophysics, China Earthquake Administration
中国地震局地质研究所	Institute of Geology, China Earthquake Administrator
中国安全生产科学研究院	China Academy of Safety Science and Technology
中国建筑材料科学研究院	CHINA BUILDING MATERIALS ACADEMY 
中国林业科学研究院	Chinese Academy of Forestry
中国核动力研究设计院	NPIC
中国民用航空学院	Civil Aviation University of China
中国气象科学研究院	Chinese Academy of Meteorological Sciences
中国水利水电科学研究院	China Institute of Water Resources and Hydropower Research
中国水稻研究所	CHINA NATIONAL RICE RESEARCH INSTITUTE
中国海洋大学	Ocean University of China
中国环境科学研究院	Chinese Research Academy of Environmental Sciences
中国疾病预防控制中心职业卫生与中毒控制所	National Institute of Occupational Health and Poison Control, Chinese Center For Disease Control And Prevention
中国石油大学（北京）	China University of Petroleum,Beijing
中国石油大学（华东）	China University of Petroleum
中国矿业大学	China University of Mining and Technology
中国矿业大学（北京）	China University of Mining & Technology-Beijing
中国科学技术大学	University of Science and Technology of China
中国科学院上海光学精密机械研究所	Shanghai Institute of Optics and Fine Mechanics, the Chinese Academy of Sciences
中国科学院上海天文台	Shanghai Astronomical Observatory，Chinese Academy of Sciences
中国科学院上海巴斯德研究所	Institut Pasteur of Shanghai Chinese Academy of Sciences
中国科学院上海应用物理研究所	Shanghai Institute of Applied Physics, Chinese Academy of Sciences
中国科学院上海微系统与信息技术研究所	Shanghai Institute of Microsystem and Information Technology ，简称SIMIT
中国科学院上海技术物理研究所	Shanghai Institute of Technical Physics of the Chinese Academy of Sciences
中国科学院上海有机化学研究所	Shanghai institute of Organic Chemistry, Chinese Academy of Sciences
中国科学院上海植物生理研究所	
中国科学院上海生命科学研究中心	
中国科学院上海生命科学研究院	Shanghai Institutes for Biological Sciences，缩写为SIBS
中国科学院上海生命科学研究院生物化学与细胞生物学研究所	Shanghai Institute of Biochemistry and Cell Biology,Chinese Academy of Sciences
中国科学院上海生物化学研究所	Shanghai Institute of Biochemistry and Cell Biology,Chinese Academy of Sciences
中国科学院上海生物工程研究中心	
中国科学院上海硅酸盐研究所	Shanghai Institute of Ceramics，Chinese Academy of Sciences
中国科学院上海细胞生物学研究所	Shanghai Institute of Biochemistry and Cell Biology,Chinese Academy of Sciences
中国科学院上海药物研究所	Chinese Academy of Sciences Shanghai Institute of Materia Medica
中国科学院东北地理与农业生态研究所	Northeast Institute of geography and AGgroecology, Chinese Academy of Sciences
中国科学院云南天文台	Yunnan Observatory of Chinese Academy of Sciences
中国科学院亚热带农业生态研究所	The Institute of Subtropical Agriculture, The Chinese Academy of Sciences.
中国科学院光电技术研究所	Institute of Optics and Electronics, Chinese Academy of Sciences 
中国科学院光电研究院	China Academy of Sciences Institute of Optoelectronics
中国科学院兰州化学物理研究所	Lanzhou Institute of Chemical Physics,Chinese Academy of Sciences
中国科学院力学研究所	Institute of Mechanics, Chinese Academy of Sciences
中国科学院动物研究所	Institute of Zoology，Chinese Academy of Sciences
中国科学院化学研究所	Institute of Chemistry Chinese Academy of Sciences
中国科学院化工冶金研究所	
中国科学院北京基因组研究所	Beijing Institute of genome research, Chinese Academy of Sciences
中国科学院北京天文台	National Astronomical Observatories，Chinese Academy of Sciences
中国科学院半导体研究所	Institute of Semiconductors,Chinese Academy of Sciences
中国科学院华南植物园	SOUTH CHINA BOTANICAL GARDEN,CAS
中国科学院南京土壤研究所	Institute of Soil Science，Chinese Academy of Sciences
中国科学院南京地理与湖泊研究所	Nanjing Institute of Geography and Limnology, Chinese Academy of Sciences 
中国科学院南京地质古生物研究所	Nanjing Institute of Geology and Palaeonotology，Chinese Academy of Sciences
中国科学院南海海洋研究所	South China Sea Institute of Oceanology,Chinese Academy of Sciences
中国科学院古脊椎动物与古人类研究所	Institute of Vertebrate Paleontology and Paleoanthropology
中国科学院合肥物质科学研究院	Hefei Institute of Physical Science，Chinese Academy of Sciences
中国科学院固体物理研究所	
中国科学院国家天文台	The National Astronomical Observatories of the Chinese Academy of Sciences
中国科学院国家天文台中国	
中国科学院国家授时中心	National Time Service Center Chinese Academy Of Sciences
中国科学院地球化学研究所	Institute of Geochemistry,Chinese Academy of Sciences 
