JQ_affiliationID	JQ_sortedName	CO_authorID	Ki	Kj	Kij	flag	CII
3923682	cai yangjian	2764492961	113	2	1	1	0.004424778761061947
3923682	cai yangjian	2096870561	113	12	10	1	0.007374631268436578
3923682	cai yangjian	2147834050	113	17	17	1	0.008849557522123894
3923682	cai yangjian	2618874021	113	11	11	1	0.008849557522123894
3923682	cai yangjian	2577533478	113	45	39	1	0.007669616519174041
3923682	cai yangjian	2162507015	113	7	7	1	0.008849557522123894
3923682	cai yangjian	2071550847	113	64	14	1	0.0019358407079646017
3923682	cai yangjian	2785529364	113	2	2	1	0.008849557522123894
3923682	cai yangjian	2117868565	113	6	6	1	0.008849557522123894
3923682	cai yangjian	2152009274	113	9	9	1	0.008849557522123894
3923682	cai yangjian	2140537557	113	7	6	1	0.007585335018963337
3923682	cai yangjian	2135866937	113	5	5	1	0.008849557522123894
3923682	cai yangjian	1172805370	113	8	2	1	0.0022123893805309734
3923682	cai yangjian	2108511739	113	6	2	1	0.0029498525073746312
3923682	cai yangjian	2112925501	113	2	2	1	0.008849557522123894
3923682	cai yangjian	2121100027	113	4	1	1	0.0022123893805309734
3923682	cai yangjian	2764492961	43	4	2	0	0.011627906976744186
3923682	cai yangjian	2096870561	43	1	1	0	0.023255813953488372
3923682	cai yangjian	2147834050	43	7	5	0	0.016611295681063124
3923682	cai yangjian	2618874021	43	18	17	0	0.021963824289405683
3923682	cai yangjian	2577533478	43	24	12	0	0.011627906976744186
3923682	cai yangjian	2162507015	43	12	11	0	0.02131782945736434
3923682	cai yangjian	2071550847	43	27	2	0	0.0017226528854435831
3923682	cai yangjian	2785529364	43	1	1	0	0.023255813953488372
3923682	cai yangjian	2117868565	43	16	15	0	0.02180232558139535
3923682	cai yangjian	2152009274	43	1	1	0	0.023255813953488372
3923682	cai yangjian	2140537557	43	2	1	0	0.011627906976744186
3923682	cai yangjian	2135866937	43	2	2	0	0.023255813953488372
3923682	cai yangjian	1172805370	43	4	1	0	0.005813953488372093
3923682	cai yangjian	2108511739	43	5	1	0	0.004651162790697674
3923682	cai yangjian	2112925501	43	4	3	0	0.01744186046511628
3923682	cai yangjian	2121100027	43	2	2	0	0.023255813953488372
3923682	cao yongluo	2638493063	9	1	1	1	0.1111111111111111
3923682	cao yongluo	2638493063	7	2	1	0	0.07142857142857142
3923682	feng yan	2129005180	61	4	4	1	0.01639344262295082
3923682	feng yan	2444403714	61	2	2	1	0.01639344262295082
3923682	feng yan	2514975842	61	22	1	1	0.0007451564828614009
3923682	feng yan	2097484324	61	7	1	1	0.00234192037470726
3923682	feng yan	2742843974	61	1	1	1	0.01639344262295082
3923682	feng yan	2161658700	61	22	1	1	0.0007451564828614009
3923682	feng yan	2170079853	61	4	1	1	0.004098360655737705
