affID	sortedName	awardYear	coAuthorsNumBF	coAuthorsNumAF
3923682	cao yongluo	2011	7	8
3923682	chen hong	2011	3	112
3923682	zhiyuan zhong	2012	94	98
4610292	huang yunqing	2006	24	45
4610292	yichun zhou	2005	27	93
5740404	jie yang	2011	39	142
5740404	ning zhang	2011	71	209
9086337	bingshe xu	2000	21	35
9086337	dong jinxiang	2008	39	66
9086337	liang weiguo	2012	14	33
9224756	wang xingwei	2012	4	12
9842412	wang zaihua	2008	2	10
9916479	han hua	2004	18	152
9916479	huang xi	2003	0	2
9916479	ling tao	2012	143	201
12411659	gao xiumei	2011	132	449
16609230	guilin wen	2012	26	57
16609230	he yigang	2009	70	63
16609230	jiang jianhui	2010	174	206
16609230	shuangchun wen	2010	176	204
17145004	hejun li	2002	28	127
17145004	xiaopeng zhao	2000	4	52
19820366	ai yinshuang	2011	8	10
19820366	aihui zhou	2004	19	31
19820366	andong xia	2008	78	90
19820366	bai fengyan	2008	15	48
19820366	bai haiyang	2002	10	0
19820366	bai xuedong	2007	50	149
19820366	bai yongfei	2008	56	117
19820366	bai zhongzhi	2005	13	24
19820366	baifei shen	2011	83	136
19820366	baiqing xu	2011	58	154
19820366	bao lan	2003	27	36
19820366	baochun huang	2005	29	45
19820366	baolong shen	2008	11	44
19820366	baonian wan	2007	214	268
19820366	beiying wu	1995	2	2
19820366	benzhan zhu	2009	13	63
19820366	bingsong zou	2002	3	0
19820366	bixian mai	2005	60	196
19820366	boqiang qin	2008	100	143
19820366	cai chunfang	2011	43	48
19820366	cai ronggen	2003	11	44
19820366	cai shuqun	2010	12	30
19820366	cai xinxia	2011	38	103
19820366	cai zucong	2001	8	51
19820366	canzhong lu	2004	34	89
19820366	cao daomin	2004	10	14
19820366	cao jun	2012	11	30
19820366	cao juncheng	2004	1	29
19820366	cao junji	2009	92	356
19820366	cao rong	2003	73	106
19820366	cao xinwu	2003	11	14
19820366	cao xueqiang	2008	66	67
19820366	chang chen	2012	81	163
19820366	chang jin	2009	41	470
19820366	chang kai	2005	14	58
19820366	changchun song	2011	74	112
19820366	changhe zhou	2001	60	66
19820366	changqing zeng	2002	1	568
19820366	changsheng xu	2012	124	138
19820366	changsheng zhang	2011	40	266
19820366	changyin zhao	2011	17	27
19820366	changzhi gu	2008	215	262
19820366	chaozhong li	2003	6	32
19820366	chen chuanfeng	2006	32	74
19820366	chen dahua	2008	16	62
19820366	chen duofu	2007	23	43
19820366	chen fan	2012	123	155
19820366	chen hangrong	2012	93	184
19820366	chen jijun	2010	111	109
19820366	chen liding	2009	62	125
19820366	chen lidong	2003	46	164
19820366	chen ming	1998	9	27
19820366	chen mingsheng	2002	5	67
19820366	chen ping	2012	146	364
19820366	chen shaohua	2011	47	110
19820366	chen wang	2002	151	290
19820366	chen xiaoshuang	2007	173	282
19820366	chen xiaosong	2003	0	7
19820366	chen xilin	2010	88	128
19820366	chen xinwen	2003	65	72
19820366	chen xuesi	2004	36	270
19820366	chen yanjing	2004	0	16
19820366	chen yonghai	2006	35	145
19820366	chen yongming	2006	35	86
19820366	chen zhiming	2000	7	13
19820366	chen zhongning	2006	52	98
19820366	cheng zhaohua	2001	69	106
19820366	cheng zhukuan	2003	60	206
19820366	chengcai chu	2008	89	213
19820366	chenglong deng	2009	49	119
19820366	chengshu wang	2012	58	143
19820366	chenzhu wang	2009	34	40
19820366	chong kang	2005	48	181
19820366	chonglin yang	2010	26	59
19820366	chuanyou li	2004	22	181
19820366	chun hu	2011	53	44
19820366	chun tang	2012	8	158
19820366	chungu xia	2006	89	214
19820366	chunhai fan	2007	69	276
19820366	chunming liu	2006	44	98
19820366	chunming wu	2012	16	39
19820366	chunru wang	2002	19	130
19820366	chunyang li	2005	38	56
19820366	congming lu	2007	43	116
19820366	congqiang liu	1996	15	84
19820366	cui guizhen	2011	2	7
19820366	cuihong yang	2011	16	25
19820366	dai ning	2002	33	136
19820366	dai xi	2011	183	474
19820366	dai yucheng	2004	11	95
19820366	dai yuhong	2011	18	33
19820366	degang zhao	2009	127	130
19820366	dehua wang	2006	20	31
19820366	dejin wu	2004	3	6
19820366	deng feng	2004	65	213
19820366	deng xiangzheng	2012	97	171
19820366	deng youquan	2002	11	63
19820366	deqing zhang	2002	27	206
19820366	ding lin	2006	37	145
19820366	ding weixin	2007	11	35
19820366	dong xie	2007	31	418
19820366	dongfeng xue	2011	0	84
19820366	dongge ma	2003	73	258
19820366	dongmei zhou	2011	108	173
19820366	dongsheng wang	2010	126	185
19820366	dongxiao wang	2006	62	122
19820366	duan zhenhao	2002	0	22
19820366	dujin wang	2009	145	218
19820366	ercang luo	2006	21	22
19820366	fajun nan	2007	96	187
19820366	fan hongrui	2006	25	30
19820366	fan ying	2008	19	30
19820366	fang haiping	2008	69	113
19820366	fei wang	2010	194	614
19820366	fei xu	2003	0	1
19820366	feimin huang	2008	3	26
19820366	feiyue wang	2001	15	101
19820366	feng huang	2006	32	111
19820366	feng longlong	2007	20	185
19820366	feng qi	2007	402	561
19820366	feng songlin	2000	45	134
19820366	feng xinbin	2008	111	227
19820366	feng yuan	2008	17	79
19820366	feng zhou	2011	147	301
19820366	fengchang wu	2005	17	120
19820366	fenghua li	2011	36	142
19820366	fengqi liu	2005	66	65
19820366	fengtang yang	2000	0	9
19820366	fu liyun	2009	14	22
19820366	fu xiangdong	2005	8	73
19820366	fucheng zhang	2011	28	13
19820366	fumin lei	2009	80	283
19820366	fuqiang huang	2011	103	283
19820366	fuyuan wu	2003	12	125
19820366	fuzhou gong	2002	7	3
19820366	gan zhang	2011	216	351
19820366	gan zhihua	2010	36	48
19820366	gang qin	2011	52	11
19820366	gang su	2006	45	39
19820366	gang zhao	2005	121	343
19820366	ganlin zhang	2006	10	83
19820366	gao guangxia	2002	1	27
19820366	gao hongjun	2001	52	270
19820366	gao jie	2005	0	20
19820366	gao jun	2010	110	121
19820366	gao mingyuan	2002	6	57
19820366	gao yu	2004	32	92
19820366	ge maofa	2009	102	155
19820366	ge wei	2012	76	109
19820366	geng yanhou	2005	15	100
19820366	genxu wang	2009	51	58
19820366	gexia qiao	2010	45	63
19820366	gongli tang	2004	8	45
19820366	gu hui	2005	13	28
19820366	guanghui rao	2000	54	19
19820366	guangshe li	2010	62	78
19820366	guangsheng zhou	2006	40	142
19820366	gui yu	2008	197	257
19820366	guo guocong	2004	36	115
19820366	guo huishan	2005	2	58
19820366	guo jiandong	2012	44	159
19820366	guo lianghong	2008	25	64
19820366	guo yuewei	2001	5	61
19820366	guo yuguo	2012	89	220
19820366	guo zhancheng	2002	13	32
19820366	guohua zou	2006	17	23
19820366	guoliang xu	2001	4	21
19820366	guosheng liu	2012	29	45
19820366	guowei he	2003	7	36
19820366	guowen meng	2005	47	60
19820366	guoyi zhou	2007	103	147
19820366	haibin wang	2008	65	113
19820366	haibin wu	2011	37	67
19820366	haibin yu	2007	65	56
19820366	haifeng zhang	2008	49	149
19820366	haijun zhou	2012	36	100
19820366	hailin wang	2011	87	263
19820366	han jinlin	2000	0	6
19820366	han xiufeng	2003	84	216
19820366	han yanchun	2001	7	78
19820366	hansheng wang	2008	17	32
19820366	hao zhengping	2007	54	143
19820366	he hong	2004	20	203
19820366	he hongping	2007	120	248
19820366	he jizheng	2010	81	113
19820366	he shunping	2002	5	80
19820366	hong liao	2008	12	58
19820366	hong wu	2012	137	418
19820366	hong yiguang	2004	23	55
19820366	hong zhang	2012	487	1225
19820366	hongbo li	2009	53	121
19820366	hongmei wang	2012	72	270
19820366	hongqing ling	2002	9	85
19820366	hongwei xue	2004	3	68
19820366	hongwei zhao	2002	15	88
19820366	hongzhi kong	2011	35	40
19820366	hou shugui	2008	35	68
19820366	hou zengguang	2012	114	182
19820366	houyuan lu	2003	28	60
19820366	hu jinbo	2008	30	61
19820366	hu lihong	2009	114	174
19820366	hu weiming	2008	37	105
19820366	hu weiwu	2003	15	54
19820366	hu youhong	2012	69	119
19820366	hu zhihong	2000	34	93
19820366	hua jiang	2011	64	71
19820366	hua xiang	2009	37	36
19820366	hualin wang	2011	113	175
19820366	huang mingdong	2006	25	108
19820366	huang qingming	2010	108	233
19820366	huang shanjin	2011	38	59
19820366	huang yongping	2008	145	153
19820366	huang yongzhen	2002	43	48
19820366	hui lijian	2012	41	296
19820366	hui wang	2011	919	2381
19820366	huijuan liu	2012	98	207
19820366	huijun wang	2001	14	45
19820366	huimin ma	2005	46	72
19820366	huiru tang	2008	73	194
19820366	hushan xu	2009	336	525
19820366	ji shen	2006	72	171
19820366	ji yang	2004	96	213
19820366	jia li	2011	462	1442
19820366	jia yongfeng	2009	13	25
19820366	jian zhang	2004	155	540
19820366	jiang taijiao	2011	33	143
19820366	jiang tao	2010	132	261
19820366	jiang wan	2006	29	60
19820366	jiang wei	2007	98	210
19820366	jiang xin	2003	46	110
19820366	jiang yueming	2004	22	230
19820366	jiang zhao	2009	30	47
19820366	jiang zhu	2002	25	104
19820366	jianggao mao	2008	79	56
19820366	jianghua sun	2005	16	68
19820366	jianlin luo	2010	221	85
19820366	jianmin wang	2003	2	43
19820366	jianmin yue	2000	9	73
19820366	jianqi li	2002	18	107
19820366	jianqiu wang	2010	34	42
19820366	jiaojun zhu	2010	96	51
19820366	jiawei zhou	2005	33	47
19820366	jifeng xu	2004	34	47
19820366	jimin sun	2001	26	21
19820366	jin kuijuan	2008	142	188
19820366	jin zhangdong	2012	88	161
19820366	jin zhi	2006	24	106
19820366	jinbao song	2004	12	36
19820366	jing liu	2003	91	281
19820366	jingbo li	2009	91	144
19820366	jingfu liu	2010	64	127
19820366	jinhu lu	2010	61	119
19820366	jinhui yang	2009	66	107
19820366	jinshui wu	1999	3	10
19820366	jinsong li	2012	70	260
19820366	jinsong zhang	2009	43	61
19820366	jinxia wang	2009	31	53
19820366	jiping liu	2012	18	47
19820366	jirong sun	2002	43	105
19820366	jiuhong kang	2006	21	42
19820366	jun lin	2002	26	117
19820366	jun wu	2011	154	281
19820366	jun xu	2004	111	484
19820366	kaiyou wang	2012	0	37
19820366	kang shichang	2012	254	501
19820366	ke xia	2008	38	32
19820366	kong ping	2001	12	1
19820366	laigeng li	2007	17	18
19820366	lean yu	2010	41	22
19820366	lehui lu	2011	39	63
19820366	lei xiao	2010	27	56
19820366	li lin	2003	220	212
19820366	li liu	2006	55	236
19820366	li niu	2012	119	186
19820366	li sheng	2011	205	1616
19820366	li shuqiang	2010	18	23
19820366	li shushen	2003	30	90
19820366	li wang	2002	92	360
19820366	li weixue	2012	3	10
19820366	li xin	2009	240	532
19820366	li xinqi	2004	15	26
19820366	li xinrong	2008	68	93
19820366	li xinxin	2007	69	148
19820366	li xuelong	2011	147	440
19820366	li yaping	2009	25	192
19820366	li yongwang	2006	104	133
19820366	li yuesheng	2005	30	85
19820366	li yutong	2009	168	258
19820366	li zhanting	2004	13	57
19820366	li zhaoliang	2004	19	59
19820366	li zhibo	2012	95	166
19820366	liang xinmiao	2008	0	9
19820366	libo liu	2007	49	97
19820366	lide tian	2010	68	141
19820366	lijun wan	2000	12	208
19820366	lijun wu	2002	37	117
19820366	lin wei	2012	417	236
19820366	lin yangting	2000	4	34
19820366	lin zhang	2011	195	313
19820366	linsheng song	2009	79	87
19820366	linxiu zhang	2002	15	17
19820366	liu ming	2008	197	696
19820366	liu minghua	2000	15	74
19820366	liu qingquan	2008	14	24
19820366	liu qingsong	2010	65	357
19820366	liu shuangjiang	2007	97	140
19820366	liu weidong	2011	28	161
19820366	liu wuming	2005	30	122
19820366	liu xiaojun	2009	34	152
19820366	liu xiaolong	2009	43	145
19820366	liu yimin	2009	62	160
19820366	liu yingfang	2009	30	75
19820366	liu yu	2005	92	321
19820366	liu yuanhong	2011	31	33
19820366	liu yun	2012	257	229
19820366	liu zhimin	2011	154	165
19820366	liye xiao	2002	55	105
19820366	lizhu wu	2001	20	105
19820366	long mian	2002	3	17
19820366	lu riyu	2007	13	18
19820366	luo sanzhong	2010	23	48
19820366	luo xiangang	2008	62	134
19820366	luo xiaodong	2012	80	126
19820366	luo yongming	2001	19	97
19820366	ma xucun	2010	107	280
19820366	ma yanwei	2010	78	162
19820366	ma yaoming	2008	63	160
19820366	maoyan zhu	2007	62	63
19820366	mei zhang	2011	62	135
19820366	meng qingbo	2007	106	126
19820366	miao zehong	2010	88	158
19820366	min tan	2007	101	164
19820366	min yang	2005	54	350
19820366	mingjiu ni	2011	13	21
19820366	ninghua tan	2007	42	135
19820366	ninghui sun	2009	69	112
19820366	ninglian wang	2005	35	73
19820366	niu zhichuan	2006	122	171
19820366	pan yongxin	2003	39	66
19820366	pengfei yao	2002	2	6
19820366	pengye wang	2000	17	30
19820366	ping xie	2002	107	222
19820366	pingheng tan	2012	75	338
19820366	qi tao	2011	78	226
19820366	qi zhou	2005	91	462
19820366	qie xiushu	2003	28	75
19820366	qihua wang	2010	31	86
19820366	qingbai wu	2006	12	60
19820366	qingyuan sun	2002	77	141
19820366	qiuliang wang	2009	125	170
19820366	qiwei zhai	2008	15	129
19820366	qu xiaogang	2002	0	22
19820366	qun yang	1997	2	21
19820366	renbin zhan	2008	32	71
19820366	renfang shen	2010	7	0
19820366	renzhong tai	2012	62	237
19820366	rong zeng	2004	70	277
19820366	ruiming xu	2009	21	83
19820366	runzhi zhang	2005	8	31
19820366	shaojie wang	2004	0	20
19820366	shen shuzhong	2002	20	53
19820366	shen xu	2005	136	291
19820366	shen yanan	2010	0	0
19820366	shi wensheng	2010	39	38
19820366	shougang zhang	2010	48	174
19820366	shouke yan	2004	18	90
19820366	shu wang	2007	89	151
19820366	shu yousheng	2010	5	32
19820366	shuli you	2010	45	97
19820366	su weiping	2009	13	43
19820366	sun weidong	2005	8	164
19820366	sun xiaotao	2000	1	3
19820366	suobo zhang	2008	42	58
19820366	suojiang zhang	2006	32	164
19820366	taihua zhang	2010	90	14
19820366	tang tao	2005	52	130
19820366	tang yong	2002	20	100
19820366	tianjun zhou	2011	147	229
19820366	tianxiang yue	2008	42	85
19820366	wang wen	2003	6	127
19820366	wang xiangdong	2005	20	69
19820366	wang xianhong	2002	47	59
19820366	wang xiaolin	2008	63	67
19820366	wang xiaoquan	2004	20	31
19820366	wang xinming	2010	184	331
19820366	wang xunming	2012	54	84
19820366	wang yanling	2010	79	156
19820366	wang yilin	2010	81	161
19820366	wang yizheng	2002	0	40
19820366	wang yonghong	2010	92	144
