dzFxID	dzAwardYear	dzCoAuthorsNumBF	dzCoAuthorsNumAF
100003	2008	6	2
100007	2009	9	60
100010	2006	36	7
100021	2009	52	79
100022	2008	3	55
100024	2006	11	243
10003	2000	15	33
100030	2006	24	37
100047	2001	14	36
100052	2005	9	10
100062	2008	9	10
100074	2009	30	62
100084	2011	9	4
100091	2010	14	3
100113	2010	28	42
100114	2009	15	27
100117	2002	67	118
100121	2005	40	40
100127	2010	0	1375
100130	2007	40	38
100132	2012	53	19
100138	2010	4	7
100139	2010	9	55
100152	2012	40	97
100154	2011	5	0
100157	2006	10	16
100160	2011	8	20
100166	2009	83	30
100167	2002	5	20
100168	2007	4	4
100171	2012	13	8
100172	2012	13	35
100175	2002	4	7
10018	2012	0	1162
100185	2012	25	53
100187	2009	75	73
100205	2011	81	149
10021	2005	4	7
100218	2008	35	27
100219	2012	80	66
10022	2012	26	49
100223	2008	120	162
100237	2012	68	141
100242	2012	0	12
100253	2003	1	0
100258	2002	149	131
100269	2005	7	7
100271	2003	3	30
100272	2012	3	15
100276	2011	31	80
100281	2007	16	2
100283	2009	4	0
10029	2012	4	0
100296	2006	12	0
100299	2012	0	19
100306	2009	46	180
100308	2005	6	20
100310	2004	0	15
100313	2009	14	60
100355	2009	69	59
100360	2007	4	51
100367	2004	16	0
100370	2002	4	61
100372	2010	133	157
100377	2008	16	97
100391	2001	14	31
10040	1998	9	129
100406	2011	0	9
100408	2012	145	78
100409	2011	18	11
100417	2002	5	24
100425	2006	0	6
100426	2008	18	17
100427	2006	29	19
100435	2007	0	8
100455	2012	12	50
100467	2003	65	42
100471	2008	51	39
100475	2009	12	20
10048	2011	4	26
100487	2011	83	68
100494	2012	39	44
100499	2012	42	58
1005	2011	38	40
100509	2009	90	119
100510	2010	0	6
100513	2009	25	11
100526	2012	213	108
100532	2006	33	58
100542	2006	15	8
100543	2012	43	73
100553	2010	200	152
100560	2011	10	40
100567	2012	72	91
100579	2011	122	29
100608	2012	0	2
100611	2012	3	0
100619	2004	11	7
10064	2010	3	47
100640	2008	36	78
100642	2011	24	22
100658	2007	21	12
100662	2011	4	0
10067	2005	16	21
100683	2005	448	93
100684	2011	20	5
100699	2010	22	9
100704	2012	31	0
100711	2012	91	74
10072	2002	123	205
100722	2008	97	386
100727	2002	78	23
100732	2002	6	22
10074	2010	30	23
100740	2006	23	40
100754	2011	12	30
100767	2003	2	5
100769	2010	8	106
10077	2003	4	11
100775	2010	41	41
100778	2007	7	18
100780	2011	30	22
100781	2007	11	154
100782	2011	15	46
100788	2005	37	42
100791	2011	81	72
100796	2007	2	0
10080	2007	0	90
10083	2010	0	32
100833	2010	0	7
10084	2010	29	25
100853	2001	3	55
100866	2004	16	50
10088	2011	31	62
100882	2009	42	48
100891	2010	18	62
100895	2000	17	32
100896	2003	0	8
100897	2008	2895	11457
100900	2011	23	27
100908	2005	12	89
100914	2012	14	92
100915	2011	12	27
100926	2012	66	41
100929	2010	77	121
100948	2010	6	8
100960	2012	299	477
100962	2007	328	0
100966	2009	23	73
100971	2008	30	243
10099	2012	88	169
101015	2011	16	31
101017	2012	105	729
101018	2010	4	20
101026	2004	5	0
101034	2010	16	59
101036	2010	15	14
101039	2012	75	128
101046	2002	20	35
10105	2005	19	57
101057	2007	43	105
10106	2003	43	73
101080	2011	8	16
101096	2006	9	7
101099	2007	13	9
101100	2012	10	15
101101	2010	15	49
101129	2009	28	106
101138	2003	0	0
101150	2010	0	82
101152	2007	49	113
101154	2008	0	73
101164	2011	5	4
101165	2009	0	20
101187	2011	31	46
101190	2002	56	576
101194	2010	18	55
101196	2004	72	48
101201	2009	33	5
101212	2006	16	19
101221	2009	19	49
101230	2003	17	55
101232	2011	24	32
101239	2009	39	70
101249	2008	28	68
101259	2012	8	15
101289	2009	8	10
10133	2006	4	23
101373	2008	41	47
101376	2010	24	20
101391	2009	5	7
101399	2010	40	71
101425	2009	3258	1077
101429	2009	22	17
10143	2011	68	83
10145	2012	120	194
101453	2012	10	94
101459	2004	12	8
10146	2010	7	303
101481	2007	28	1
101499	2012	0	7
101501	2008	44	192
101502	2002	0	0
101505	2012	228	944
101507	2011	0	29
101513	2012	0	38
101514	2010	20	14
101528	2005	17	33
101536	2006	12	27
101548	2003	36	9
101555	2006	28	54
101556	2003	36	81
101561	2005	0	26
101566	2009	45	137
101567	2010	129	80
101570	2004	15	4
101579	2003	21	39
101589	2009	33	62
101595	2011	11	54
101596	2008	7	21
101597	2010	50	112
101603	2011	7	0
101609	2012	12	8
101611	2010	77	80
101631	2005	22	3
101633	2009	6	971
101647	2000	4	29
101665	2010	258	265
101672	2002	21	32
101678	2012	0	13
101689	2010	72	83
101703	2011	67	57
101710	2006	10	49
101725	2007	0	3
101727	2005	11	0
101730	2003	2	16
101733	2011	165	271
101742	2002	48	60
101755	2008	50	234
101785	2008	45	113
101789	2008	4	0
101797	2003	25	70
101800	2005	24	2
101806	2002	41	51
101815	2008	0	2
101841	2010	22	80
101842	2003	25	19
101855	2007	22	17
101862	2008	39	56
101865	2002	71	85
101880	2012	0	21
101890	2007	23	29
101907	2011	10	22
101915	2003	16	57
101918	2010	19	18
10192	2011	75	91
101932	2007	0	5
10194	2011	161	102
101945	2011	2915	11827
101952	2009	51	125
101974	2012	11	24
101982	2006	39	55
101985	2011	77	138
101986	2011	0	52
101988	2007	75	53
102019	2010	13	62
102034	2012	126	313
10205	2004	3	11
10230	1995	2	12
10242	2011	18	42
1027	2006	20	68
10270	2010	0	0
10289	2010	19	26
10319	2010	7	0
10325	2002	3	28
10326	2000	0	0
10339	2009	0	41
10343	2007	27	19
10344	2008	63	78
10354	2010	100	83
10361	2003	5	5
10378	2008	0	0
1038	2010	22	29
10387	2012	130	749
10388	2010	60	94
10393	2001	57	111
10400	2009	93	73
10430	2001	3	16
10439	2012	12	0
10442	2007	8	30
10456	2006	8	4
1047	2006	7	4
10478	2003	0	11
10496	2008	354	2254
10502	2004	4	20
10504	2007	5	32
10519	2008	5	44
10536	2011	80	157
10542	2011	156	87
10555	2012	14	10
10571	2009	15	9
10578	2010	16	16
10581	2010	0	1
10589	2007	23	55
10634	2008	73	390
10652	2005	23	50
10658	2010	88	175
10666	2002	3	0
1067	2012	13	19
10679	2012	11	9
107	2001	66	99
1070	2007	26	123
10707	2004	0	29
10708	1994	12	48
10728	2007	59	69
10742	2002	14	83
10765	2011	0	10
10776	2002	177	115
10780	2009	65	239
10791	2008	100	145
10808	2008	11	44
10828	2002	139	191
10830	2006	3	63
10836	2008	26	121
10861	2002	11	75
10862	2007	12	10
10866	2007	59	101
10874	2006	25	33
10879	2007	23	41
1089	2006	33	59
10890	2012	36	48
10892	2002	22	10
10898	2007	0	3
1090	2011	0	4
10903	2008	14	15
10908	2007	13	1586
10915	2008	0	7
10921	2011	20	162
10947	2007	30	17
10949	2006	5	0
10952	2010	34	13
10965	2006	16	49
10966	2009	240	553
10990	2011	13	0
10994	2005	11	22
10996	2007	22	35
11004	2011	162	52
11012	2009	16	6
11015	2006	18	129
11018	2005	119	236
11021	2012	21	24
11034	2009	14	2
11043	2006	19	130
11070	2012	18	27
11071	2003	90	118
11073	2011	18	5
11080	2010	66	114
11119	2008	7	0
11120	2002	6	14
11137	2002	11	45
11160	2004	4	6
11185	2012	6	4
11200	2004	0	13
11211	2009	76	15
11250	2005	36	85
11259	2005	16	34
11271	2012	0	31
11296	2012	27	27
11316	2010	9	5
11318	2002	4	53
11326	2011	97	38
11331	2011	7056	18130
11364	2008	37	52
11367	2011	19	44
1138	2003	51	125
11384	2005	55	140
11387	2004	32	117
11416	2011	170	233
1142	2003	50	75
11428	2000	11	0
1146	2001	54	26
11478	2009	0	26
11482	2010	138	196
11498	2002	0	0
11499	2012	4	1
11521	2008	16	18
11546	2009	55	148
11554	2008	20	7
11583	2010	27	54
11587	2006	4	20
11602	2008	17	16
11622	2005	30	51
11623	2011	31	28
11651	2011	0	17
11656	2009	93	57
11691	2001	0	4
11703	2002	0	28
11715	2003	112	135
11749	2007	16	40
11754	2010	10	0
11781	2010	0	57
11782	2000	2	11
118	2010	0	7
1184	2005	85	10
11842	2003	28	124
11845	2006	42	77
11882	2008	34	57
11902	2005	8	4
11920	2007	86	260
11993	2012	20	24
12008	2009	19	114
12009	2009	11	12
12014	2010	299	759
12019	2002	0	0
12036	2002	0	0
12039	2007	143	16
12081	2007	0	29
12093	2009	9	26
12109	2005	76	419
1213	2002	9	40
12133	2011	24	0
12137	2010	86	53
12146	2008	21	19
12153	2010	20	7
12165	2007	3	7
12175	2005	2	2
12186	2011	110	18
12203	2007	10	5
12219	2012	9	0
12245	2012	143	182
1226	2012	248	187
12271	2011	40	125
12285	2007	14	20
12286	2008	65	128
123	2007	57	31
12316	2005	0	4
12340	2001	0	0
12348	2004	35	46
12366	2005	9	87
12374	2003	68	125
12379	2009	0	18
12398	2008	97	178
12403	2006	0	3
12410	2011	138	211
12411	2008	6	23
12421	2004	7	15
12423	2009	26	41
12435	2008	43	20
12466	1994	11	13
12495	2010	11	26
12505	2010	5	57
12527	1997	4	0
12530	2007	60	75
12540	1995	3	0
12557	2000	34	40
12566	2005	152	274
12576	2012	9	64
12594	2011	45	62
12603	2010	26	1339
12610	2006	0	5
12642	2004	57	75
12647	2012	4	5
12652	2006	0	6
12654	2000	45	90
12686	2003	33	35
12703	2003	11	99
12728	2010	0	0
12738	2004	0	0
12771	2004	5	46
12785	2006	60	136
12789	2000	4	13
12859	2007	111	121
12863	2006	18	53
12869	2012	0	16
