fxID	minYear	maxYear
7	2001	2017
14	2004	2016
15	2001	2018
16	2006	2017
24	1991	2008
27	2006	2017
28	2003	2014
51	1990	2017
53	2001	2016
56	1992	2010
72	2003	2017
83	1996	2018
89	2002	2018
92	1994	2018
93	2001	2017
106	2006	2017
107	1987	2018
112	1980	2018
114	2004	2018
118	1998	2017
123	1995	2012
132	1991	2017
134	1987	2018
143	1994	2015
145	2002	2017
150	2005	2016
167	2006	2016
172	2001	2018
176	1994	2014
180	2004	2018
185	2001	2017
190	2001	2018
202	2003	2017
204	1987	2017
208	2007	2017
210	2007	2018
230	1987	2018
236	2005	2017
237	2000	2018
256	2007	2018
258	2002	2018
264	2002	2017
275	2004	2018
283	2003	2016
289	1999	2014
296	2001	2012
299	1996	2016
301	2007	2018
309	2006	2017
313	2004	2018
314	2002	2018
320	1997	2018
328	2006	2017
333	2002	2018
340	2003	2018
350	2004	2017
353	2004	2018
359	1996	2017
362	1987	2018
363	1999	2018
367	1981	2018
370	1993	2018
379	2005	2017
392	1994	2017
393	2005	2017
398	1988	2016
401	2001	2018
404	2000	2014
415	1996	2014
428	1996	2017
435	1998	2017
447	2004	2018
454	2002	2018
456	2005	2018
467	2005	2017
477	2002	2014
478	2002	2018
480	2006	2018
486	2002	2017
498	1999	2017
499	1982	2018
519	1999	2018
528	1996	2018
534	2005	2015
547	2004	2018
554	2004	2015
558	2001	2018
559	2005	2017
563	1999	2018
566	2000	2018
567	1993	2018
579	1986	2018
584	1999	2015
589	2004	2016
591	1991	2018
597	2004	2018
601	2007	2018
612	2006	2017
625	1988	2017
629	1998	2018
632	2004	2018
638	2002	2015
653	2001	2018
664	1997	2018
665	1991	2005
673	2006	2016
674	1997	2016
676	1994	2018
686	2003	2017
688	1990	2018
694	2001	2014
707	2007	2017
713	2001	2018
716	2005	2018
718	2006	2018
721	2005	2017
726	2001	2017
728	2003	2018
737	2002	2018
738	2005	2015
749	2003	2018
765	2007	2018
778	2004	2017
785	2001	2018
792	1990	2013
795	2003	2016
798	1999	2016
814	2002	2017
815	1998	2018
821	2005	2017
824	2004	2017
832	1999	2017
841	2001	2017
854	2006	2017
863	2007	2017
872	2006	2018
882	2000	2018
886	1990	2003
910	2001	2018
913	2003	2017
920	2006	2018
930	2005	2018
932	2007	2018
946	2005	2015
963	2006	2017
