fxID	minYear	assumeAwardYear
13847	2005	2010
12728	1995	2010
44514	1994	2005
57175	1989	2004
63048	1990	2003
49797	2006	2012
85232	1991	2009
96644	1998	2007
49288	2002	2012
64451	1986	2001
22156	1987	2003
4102	1991	2002
7760	1998	2008
79313	2003	2009
1708	2006	2011
74142	2001	2012
66415	2005	2011
48100	1992	2003
43984	2001	2006
38565	2002	2008
25579	1987	2009
30442	1996	2009
20418	2004	2011
70282	1985	2002
89883	1988	2001
31720	2006	2011
37381	1999	2010
16602	1989	2011
26821	1999	2005
2523	1987	2003
35140	1987	2012
21587	1991	2011
90757	2002	2012
40899	1998	2003
11602	2000	2008
99298	1998	2003
7167	2000	2009
2370	1982	2007
98329	2000	2008
42621	1994	2005
43423	1999	2010
54867	1996	2009
66497	1990	2004
2895	2001	2006
101797	1994	2003
55544	1997	2008
101865	1989	2002
9102	1999	2005
72938	2002	2009
29428	2000	2008
75384	1990	2002
49857	1981	2001
59283	2002	2008
58533	1982	2002
26560	1980	2003
66598	1996	2002
72	2003	2010
69502	1988	2012
31919	1988	1995
9893	1981	2001
83565	2006	2012
87964	1994	2011
97063	2004	2010
13216	1988	2000
35624	2004	2010
55963	1992	2006
35854	1997	2005
25663	1986	2002
65642	2006	2012
5406	2000	2007
85663	2007	2012
73748	2001	2007
100972	2005	2012
4202	2000	2008
100121	1993	2005
73646	1995	2007
47558	2004	2009
32335	1993	2001
52270	1995	2012
53083	2000	2010
18294	1994	2007
4909	1997	2002
17992	1995	2008
37379	2001	2012
9849	1996	2008
15193	2000	2009
100704	2000	2012
46608	1989	2011
61891	2001	2007
71535	1999	2010
46668	2004	2012
15890	2005	2010
83083	2002	2010
51573	1997	2005
63050	1994	2011
57947	2006	2012
11331	1999	2011
91536	1997	2009
54893	1986	2008
34694	2004	2009
7355	1998	2003
98486	1990	2005
22662	1993	2004
6142	1996	2009
47499	1996	2006
61451	1986	2002
65651	1996	2011
30003	1986	2001
73357	2002	2008
85654	1991	2009
99979	1999	2009
26569	2003	2011
74567	1999	2004
7576	2003	2010
99450	1989	2004
39158	1990	2008
35132	1997	2007
2426	1981	2003
46003	2002	2009
50598	1999	2009
51456	1992	2006
53622	1985	2008
3184	2004	2009
92281	2004	2009
100542	2001	2006
52413	2003	2009
61664	1997	2005
55551	2000	2012
100895	1990	2000
86573	1998	2006
36921	2006	2011
7118	2000	2005
86277	2001	2008
30749	1982	2007
7599	2002	2007
9567	1996	2004
34510	2002	2010
36036	2003	2009
75224	1994	2001
97880	2005	2012
54601	2002	2008
45705	2001	2012
2104	1996	2011
66563	2003	2009
69053	2000	2010
10903	2002	2008
53881	2001	2009
1673	2001	2012
11194	2001	2006
29281	2003	2012
61369	1992	2004
65121	2003	2012
27372	2007	2012
91875	2006	2011
91154	2005	2010
40904	2001	2007
74267	1989	1994
77387	1986	2003
95093	1990	2004
87839	2004	2012
230	1987	2000
26724	1990	2006
55259	1999	2008
94107	2004	2010
32703	1980	2003
28951	1997	2012
72166	2001	2012
12763	2002	2012
28843	2006	2011
80675	1985	2008
91342	2004	2009
52747	1996	2008
90449	1998	2011
28030	2000	2007
32093	2006	2011
24645	1997	2011
35006	2000	2009
26414	1999	2012
37981	1993	2007
13801	1997	2012
80625	1997	2012
45183	1992	2002
77319	2005	2011
50544	1985	2002
99620	1999	2008
37239	2007	2012
29006	1988	2000
76746	1989	2002
57242	2000	2007
89895	1992	2000
73314	2003	2009
82507	2004	2012
8189	2004	2012
52814	2007	2012
32965	2003	2009
44902	2003	2008
554	2004	2010
77586	1985	2002
24007	1994	2002
38597	1996	2007
4347	2004	2010
83933	2003	2008
78547	2005	2011
48712	1988	2006
46990	1999	2004
100154	2000	2011
62087	1998	2006
18341	1994	2002
31436	1996	2009
44089	2006	2011
49742	2006	2012
61840	2007	2012
19920	2001	2008
82870	1995	2009
63994	2007	2012
27355	2004	2012
46311	2000	2009
92219	2005	2011
78825	2007	2012
75970	1997	2007
13157	2000	2005
7483	2001	2011
25918	1996	2003
41898	2000	2007
86393	1985	2008
79764	1987	2001
87218	1991	2006
90020	1985	2002
101982	2000	2006
79805	2002	2007
17312	2007	2012
101221	2003	2009
65870	2000	2012
55760	2001	2009
97855	1998	2004
41629	2003	2011
22280	1988	2001
65502	1991	2010
47330	2002	2009
84446	1998	2009
46117	1997	2009
72477	1987	2001
76174	2003	2012
36370	1988	2012
59423	2005	2012
85737	2002	2011
59447	2005	2010
10866	2000	2007
35565	2000	2009
15404	1988	2007
53464	1996	2008
33160	2005	2010
1350	1994	2005
36482	1993	2004
46265	2006	2012
71380	1989	2010
99787	2005	2011
24615	1998	2010
85086	2006	2012
75545	2003	2009
27478	2000	2009
56408	2004	2011
61217	1986	2008
22575	1986	2003
50004	2001	2007
9440	2003	2009
56465	1996	2001
96508	1994	2004
18455	1985	2002
29193	1997	2005
58505	2000	2011
30861	1999	2007
38726	2001	2012
84764	1997	2008
8693	1999	2008
100370	1990	2002
17724	1995	2011
99942	1997	2012
40426	2002	2007
12044	2006	2012
87252	2002	2008
34235	1990	1999
29711	2000	2010
51364	1989	2004
5703	1997	2010
4104	1997	2004
62698	1992	2001
6564	2003	2012
93366	1996	2006
8476	2001	2008
21590	1998	2011
92550	1996	2003
49424	1992	2004
63173	1997	2005
84174	2007	2012
11003	2003	2012
82523	1997	2012
71390	1999	2004
63256	2007	2012
40294	2002	2007
34081	1987	2012
69031	2001	2009
47155	2004	2009
73548	2004	2011
101907	2000	2011
2653	2000	2008
7152	1993	2010
75623	2001	2010
49185	2002	2011
99600	1994	2001
4087	2006	2012
86581	1987	2003
7368	2002	2008
60306	1999	2012
67293	2007	2012
47876	2000	2012
75081	1994	2003
7047	2007	2012
95969	1994	2000
83821	1999	2004
58770	2003	2011
100258	1982	2002
30783	1995	2008
60411	1996	2007
63106	2000	2010
52614	2006	2012
50174	2004	2009
68488	1997	2005
24071	1999	2010
70171	1999	2004
98102	2007	2012
27828	2004	2011
32009	2001	2009
