fxID	affID	sortedName	coAuthorID
000001	19820366	cao x	2679176146
000002	142263535	lewis william	2117770635
000003	19820366	xiaolong zhou	2645681635
000004	74794359	gang yang	2260651962
000005	211433327	wang zhongbo	2148569778
000006	99065089	satoshi tamaki	2758598583
000007	16609230	liu r	2117820521
000008	24943067	feng youji	2631747085
000009	183067930	cao f	2719115314
000010	25254941	hongchao yang	2307741755
000011	177933477	chao meng wu	2178059016
000012	24185976	yang zhou	2693673138
000013	19820366	bian wanping	2616640897
000014	19820366	shiji yu	2227698302
000015	126520041	luo x	2608805702
000016	91807558	chun hou liu	2129250055
000017	19820366	bo xiangxi	2136858993
000018	99065089	almasian mohammad reza	1536402746
000019	154099455	chen xiaojing	2307260722
000020	177933477	qian shen	2714131099
000021	204983213	guangyu zhu	2156500330
000022	149594827	haibin xia	2230963328
000023	20231570	zejin zhang	2612067876
000024	99065089	chuang ren	2598221338
000025	52158045	jiewen xing	2461508623
000026	141649914	linfang shen	2636429537
000027	177725633	li songnan	2095684753
000028	19820366	ma yaping	2164433115
000029	76130692	renchang yan	2420891587
000030	41198531	wanwan zhang	2611133714
000031	16365422	huajian xu	2650531796
000032	87445476	liu qi	2719190677
000033	178232147	hongchao liu	2292730428
000034	126520041	tianwei zhang	2321373400
000035	76214153	ji yapeng	2699182488
000036	99065089	li xintong	2164463846
000037	99065089	peng xu	2631836659
000038	90610280	wenlong xiong	2099361901
000039	126520041	li zenchang	2655348320
000040	126520041	liangfu zhu	2105167509
000041	87445476	guohui meng	2549870570
000042	19820366	mmmm xu yigang	2575030625
000043	154099455	jianqiang lin	2664980112
000044	204553293	yinghui zhang	2328427412
000045	159948400	cai xiang	2170528919
000046	16733864	chen chihwei	2201448967
000047	170215575	wu yanqun	2652114625
000048	52158045	guiping zhang	2504247586
000049	19820366	du min	2684551476
000050	19820366	fuyi shen	2396288333
000051	170215575	wenxian yu	2075511848
000052	159948400	chen qiu	2639362359
000053	19820366	liu qingyao	2106844264
000054	19820366	bibo tu	2144927454
000055	19820366	qianyun sun	2105299983
000056	881766915	li tingsheng	2689507783
000057	108688024	shi xingjun	2684601572
000058	82880672	fengyun guo	2141067296
000059	19820366	guixia liu	2762022768
000060	43313876	li yong	2437054871
000061	19820366	hu ziqiao	2714478489
000062	185940356	xuefeng zhao	2585300818
