affID	sortedName	awardYear	fieldID	fieldName	minPaperYear	maxPaperYear
111381250	hailin zhang	2003	185592680	chemistry	1990	2017
111599522	chen jian	2006	185592680	chemistry	1992	2018
113940042	lu xionggang	2012	185592680	chemistry	2004	2018
115592961	shouqi yuan	2008	121332964	physics	2002	2018
116953780	guoqiang li	2002	121332964	physics	1995	2018
116953780	huang maosong	2008	127313418	geology	2001	2018
116953780	jian xu	2006	127413603	engineering	2000	2018
116953780	jiang mingjing	2010	127313418	geology	2000	2018
116953780	xiaoning zhang	2011	127413603	engineering	2001	2017
116953780	zheng zhong	2001	121332964	physics	1992	2018
119045251	xipeng xu	2008	185592680	chemistry	1999	2018
119454577	futian qu	2004	162324750	economics	1994	2014
119454577	jianwen zou	2012	86803240	biology	2003	2018
119454577	li xianchun	2003	86803240	biology	1995	2007
119454577	wenhua zhang	2006	185592680	chemistry	1998	2017
12411659	gao xiumei	2011	185592680	chemistry	1998	2018
125839683	baohua ji	2010	185592680	chemistry	2005	2017
125839683	gengkai hu	2003	121332964	physics	1995	2018
126520041	chen chusheng	2002	185592680	chemistry	1993	2018
126520041	chen falai	2002	33923547	mathematics	1993	2018
126520041	chen gao	2001	185592680	chemistry	1986	2018
126520041	cui hua	2006	185592680	chemistry	1990	2017
126520041	ding zejun	2000	185592680	chemistry	1993	2018
126520041	dou xiankang	2010	127313418	geology	1997	2018
126520041	fei qi	2009	185592680	chemistry	1995	2017
126520041	fei sun	2011	71924100	medicine	2003	2017
126520041	gong weimin	2002	185592680	chemistry	1996	2009
126520041	gong xinglong	2011	121332964	physics	2004	2018
126520041	guanwu wang	2001	185592680	chemistry	1995	2018
126520041	haiyan liu	2000	185592680	chemistry	1994	2017
126520041	han liang	2010	121332964	physics	1995	2017
126520041	haojun liang	2005	185592680	chemistry	1990	2014
126520041	he linghui	2006	121332964	physics	1995	2017
126520041	he lixin	2010	121332964	physics	1999	2018
126520041	hou zhonghuai	2011	121332964	physics	1995	2017
126520041	hu shuiming	2012	121332964	physics	1999	2018
126520041	huang wen	2012	33923547	mathematics	2001	2017
126520041	huang yunfeng	2012	121332964	physics	2000	2017
126520041	jian zheng	2006	121332964	physics	1997	2017
126520041	jun wang	2011	185592680	chemistry	1987	2018
126520041	junxian wang	2008	121332964	physics	2000	2017
126520041	kong xu	2012	121332964	physics	1999	2018
126520041	li tao	2012	127313418	geology	1994	2018
126520041	liwen niu	2000	185592680	chemistry	1988	2018
126520041	qijin zhang	2000	185592680	chemistry	1987	2018
126520041	qinghua shi	2007	86803240	biology	1997	2018
126520041	qun wang	2011	121332964	physics	1996	2018
126520041	qunke xia	2012	127313418	geology	1999	2017
126520041	shao xueguang	2003	185592680	chemistry	1996	2017
126520041	shiqiang wei	2007	185592680	chemistry	1994	2018
126520041	su yucai	2008	33923547	mathematics	2000	2017
126520041	tian zhigang	2001	71924100	medicine	1994	2017
126520041	wenbin wu	2003	185592680	chemistry	1993	2017
126520041	xie zhouqing	2010	127313418	geology	2000	2018
126520041	yongfei zheng	1994	127313418	geology	1989	2018
126520041	zhao zifu	2011	127313418	geology	1998	2018
139660479	chen xiaohong	2001	41008148	computer science	1995	2018
139660479	chunhua yang	2010	41008148	computer science	1999	2018
139660479	huaming yang	2012	185592680	chemistry	1998	2018
139660479	luo xianghang	2011	71924100	medicine	2001	2017
139759216	ji yuefeng	2003	41008148	computer science	1993	2018
143413998	shusheng zhang	2010	185592680	chemistry	2002	2014
143593769	feng qian	2006	41008148	computer science	2000	2018
143593769	jiaping lin	2009	185592680	chemistry	1999	2018
146620803	huang shaoming	2010	185592680	chemistry	2001	2018
149594827	jiao licheng	2002	41008148	computer science	1989	2018
149594827	li zhiwu	2011	41008148	computer science	2003	2018
149594827	yang yintang	2007	127413603	engineering	1999	2018
151075929	huang yuesheng	2001	185592680	chemistry	1988	2017
151075929	jiang jianxin	2003	71924100	medicine	1995	2017
151075929	liangming liu	2006	71924100	medicine	2000	2018
153473198	cui xiang	2003	127413603	engineering	1992	2018
154099455	huaijin zhang	2010	121332964	physics	1994	2018
154099455	li yuezhong	2008	185592680	chemistry	2002	2017
154099455	liu xiangfa	2006	185592680	chemistry	2000	2018
154099455	longwei yin	2010	185592680	chemistry	2000	2018
154099455	shishen yan	2011	121332964	physics	1993	2018
154099455	yuzhong zhang	2010	185592680	chemistry	1994	2017
157773358	chen hao	2002	71924100	medicine	1995	2017
157773358	chen wen	2009	71924100	medicine	1999	2018
157773358	chengxin wang	2011	185592680	chemistry	2003	2017
157773358	dan xie	2012	71924100	medicine	1995	2018
157773358	deng shaozhi	2007	185592680	chemistry	1998	2018
157773358	fan wang	2012	41008148	computer science	2003	2018
157773358	fan zhong	2006	121332964	physics	1995	2017
157773358	gangfeng ouyang	2012	185592680	chemistry	2003	2018
157773358	gu jieruo	2003	71924100	medicine	1986	2018
157773358	guo xianping	2009	33923547	mathematics	1999	2017
157773358	he mingguang	2011	71924100	medicine	1999	2018
157773358	hu jianxun	2008	33923547	mathematics	2000	2017
157773358	jingxuan pan	2010	71924100	medicine	2001	2018
157773358	lixin yan	2009	33923547	mathematics	1996	2017
157773358	lu tongbu	2006	185592680	chemistry	1993	2018
157773358	mao zongwan	2007	185592680	chemistry	1998	2018
157773358	qingjiong zhang	2007	86803240	biology	1992	2017
