affID	sortedName	awardYear	fieldID	fieldName	minPaperYear	maxPaperYear
115592961	shouqi yuan	2008	121332964	physics	2002	2018
116953780	guoqiang li	2002	121332964	physics	1995	2018
116953780	zheng zhong	2001	121332964	physics	1992	2018
125839683	gengkai hu	2003	121332964	physics	1995	2018
126520041	gong xinglong	2011	121332964	physics	2004	2018
126520041	han liang	2010	121332964	physics	1995	2017
126520041	he linghui	2006	121332964	physics	1995	2017
126520041	he lixin	2010	121332964	physics	1999	2018
126520041	hou zhonghuai	2011	121332964	physics	1995	2017
126520041	hu shuiming	2012	121332964	physics	1999	2018
126520041	huang yunfeng	2012	121332964	physics	2000	2017
126520041	jian zheng	2006	121332964	physics	1997	2017
126520041	junxian wang	2008	121332964	physics	2000	2017
126520041	kong xu	2012	121332964	physics	1999	2018
126520041	qun wang	2011	121332964	physics	1996	2018
154099455	huaijin zhang	2010	121332964	physics	1994	2018
154099455	shishen yan	2011	121332964	physics	1993	2018
157773358	fan zhong	2006	121332964	physics	1995	2017
158842170	yongxing zhang	2006	121332964	physics	1997	2013
159948400	baiou guan	2012	121332964	physics	2000	2018
163340411	chen wen	2011	121332964	physics	2006	2018
16609230	shuangchun wen	2010	121332964	physics	2003	2018
170215575	jianmin yuan	2000	121332964	physics	1988	2018
17145004	xiaopeng zhao	2000	121332964	physics	1988	2018
173759888	kuang leman	2003	121332964	physics	1993	2018
183067930	chen xianfeng	2011	121332964	physics	1987	2018
183067930	dong yi	2012	121332964	physics	2003	2018
183067930	haiguang xu	2011	121332964	physics	1994	2017
183067930	hu weisheng	2008	121332964	physics	1996	2018
183067930	huiying wu	2009	121332964	physics	2000	2018
183067930	yumin zhao	2012	121332964	physics	2005	2018
194450716	hu ping	2001	121332964	physics	1990	2016
19820366	bai haiyang	2002	121332964	physics	1995	2015
19820366	baifei shen	2011	121332964	physics	1994	2018
19820366	baolong shen	2008	121332964	physics	1991	2015
19820366	baonian wan	2007	121332964	physics	1997	2017
19820366	bingsong zou	2002	121332964	physics	1997	2016
19820366	cai ronggen	2003	121332964	physics	1998	2018
19820366	cao jun	2012	121332964	physics	2006	2018
19820366	cao juncheng	2004	121332964	physics	1996	2016
19820366	cao xinwu	2003	121332964	physics	1994	2017
19820366	chang jin	2009	121332964	physics	2002	2018
19820366	chang kai	2005	121332964	physics	1997	2017
19820366	changhe zhou	2001	121332964	physics	1995	2017
19820366	changyin zhao	2011	121332964	physics	1996	2018
19820366	chen xiaoshuang	2007	121332964	physics	1982	2018
19820366	chen xiaosong	2003	121332964	physics	1988	2018
19820366	chen yonghai	2006	121332964	physics	1998	2017
19820366	chen zhiming	2000	121332964	physics	1993	2017
19820366	cheng zhaohua	2001	121332964	physics	1993	2018
19820366	dai xi	2011	121332964	physics	1998	2018
19820366	degang zhao	2009	121332964	physics	1999	2018
19820366	dejin wu	2004	121332964	physics	1996	2012
19820366	ercang luo	2006	121332964	physics	1998	2017
19820366	feimin huang	2008	121332964	physics	1996	2017
19820366	feng longlong	2007	121332964	physics	2001	2017
19820366	feng yuan	2008	121332964	physics	1996	2018
19820366	fengqi liu	2005	121332964	physics	1996	2018
19820366	fu liyun	2009	121332964	physics	1997	2018
19820366	gang su	2006	121332964	physics	1992	2018
19820366	gang zhao	2005	121332964	physics	1992	2018
19820366	gao yu	2004	121332964	physics	1993	2018
19820366	ge wei	2012	121332964	physics	1998	2018
19820366	guowei he	2003	121332964	physics	1993	2018
19820366	han jinlin	2000	121332964	physics	1994	2017
19820366	han xiufeng	2003	121332964	physics	1996	2018
19820366	hong wu	2012	121332964	physics	1991	2018
19820366	hongwei zhao	2002	121332964	physics	1996	2018
19820366	huang yongzhen	2002	121332964	physics	1990	2018
19820366	hushan xu	2009	121332964	physics	1996	2018
19820366	ji yang	2004	121332964	physics	1992	2018
19820366	jianlin luo	2010	121332964	physics	1991	2018
19820366	jin kuijuan	2008	121332964	physics	2000	2017
19820366	jinbao song	2004	121332964	physics	1997	2017
19820366	jirong sun	2002	121332964	physics	1995	2018
19820366	kaiyou wang	2012	121332964	physics	2001	2018
19820366	ke xia	2008	121332964	physics	2003	2016
19820366	li shushen	2003	121332964	physics	1992	2018
19820366	li xinqi	2004	121332964	physics	1996	2015
19820366	li yutong	2009	121332964	physics	1997	2018
19820366	liu wuming	2005	121332964	physics	1997	2018
19820366	liu xiaojun	2009	121332964	physics	1999	2017
19820366	liye xiao	2002	121332964	physics	1997	2018
19820366	luo xiangang	2008	121332964	physics	1999	2018
19820366	ma xucun	2010	121332964	physics	1999	2018
19820366	ma yanwei	2010	121332964	physics	1999	2018
19820366	mei zhang	2011	121332964	physics	1991	2018
19820366	mingjiu ni	2011	121332964	physics	2001	2018
19820366	niu zhichuan	2006	121332964	physics	1997	2018
19820366	qie xiushu	2003	121332964	physics	1991	2018
19820366	qiuliang wang	2009	121332964	physics	1994	2018
19820366	renzhong tai	2012	121332964	physics	2001	2018
19820366	shaojie wang	2004	121332964	physics	1999	2017
