affID	sortedName	awardYear	fieldID	fieldName	minPaperYear	maxPaperYear
116953780	huang maosong	2008	127313418	geology	2001	2018
116953780	jiang mingjing	2010	127313418	geology	2000	2018
126520041	dou xiankang	2010	127313418	geology	1997	2018
126520041	li tao	2012	127313418	geology	1994	2018
126520041	qunke xia	2012	127313418	geology	1999	2017
126520041	xie zhouqing	2010	127313418	geology	2000	2018
126520041	yongfei zheng	1994	127313418	geology	1989	2018
126520041	zhao zifu	2011	127313418	geology	1998	2018
163340411	hongwu tang	2011	127313418	geology	2000	2018
191208505	bangqin huang	2009	127313418	geology	1995	2018
191208505	chen min	2011	127313418	geology	1998	2018
19820366	ai yinshuang	2011	127313418	geology	1998	2018
19820366	baiqing xu	2011	127313418	geology	1999	2018
19820366	baochun huang	2005	127313418	geology	1993	2014
19820366	beiying wu	1995	127313418	geology	1988	1999
19820366	boqiang qin	2008	127313418	geology	1991	2018
19820366	cai chunfang	2011	127313418	geology	2001	2018
19820366	cai shuqun	2010	127313418	geology	2001	2017
19820366	changchun song	2011	127313418	geology	1999	2018
19820366	chen duofu	2007	127313418	geology	1998	2017
19820366	chen liding	2009	127313418	geology	1995	2018
19820366	chen yanjing	2004	127313418	geology	1994	2016
19820366	chenglong deng	2009	127313418	geology	2000	2018
19820366	chunming wu	2012	127313418	geology	1999	2017
19820366	congqiang liu	1996	127313418	geology	1990	2018
19820366	deng xiangzheng	2012	127313418	geology	2000	2018
19820366	ding lin	2006	127313418	geology	1996	2018
19820366	dongxiao wang	2006	127313418	geology	1994	2018
19820366	fan hongrui	2006	127313418	geology	1999	2018
19820366	feng qi	2007	127313418	geology	1997	2018
19820366	fengtang yang	2000	127313418	geology	1991	2011
19820366	fucheng zhang	2011	127313418	geology	1999	2015
19820366	fumin lei	2009	127313418	geology	2002	2017
19820366	fuyuan wu	2003	127313418	geology	1996	2018
19820366	ganlin zhang	2006	127313418	geology	2001	2018
19820366	gao jun	2010	127313418	geology	2001	2018
19820366	genxu wang	2009	127313418	geology	1999	2017
19820366	guoyi zhou	2007	127313418	geology	1996	2017
19820366	haibin wu	2011	127313418	geology	2002	2018
19820366	hansheng wang	2008	127313418	geology	2001	2018
19820366	hong liao	2008	127313418	geology	1989	2017
19820366	hou shugui	2008	127313418	geology	1997	2017
19820366	houyuan lu	2003	127313418	geology	1996	2018
19820366	huijun wang	2001	127313418	geology	1993	2018
19820366	ji shen	2006	127313418	geology	1996	2018
19820366	jiang zhu	2002	127313418	geology	1994	2018
19820366	jifeng xu	2004	127313418	geology	1998	2018
19820366	jimin sun	2001	127313418	geology	1996	2017
19820366	jin zhangdong	2012	127313418	geology	2000	2017
19820366	jinhui yang	2009	127313418	geology	2000	2018
19820366	jinshui wu	1999	127313418	geology	1990	2018
19820366	jinxia wang	2009	127313418	geology	2001	2017
19820366	jiping liu	2012	127313418	geology	1996	2017
19820366	kang shichang	2012	127313418	geology	1999	2018
19820366	kong ping	2001	127313418	geology	1995	2014
19820366	li xin	2009	127313418	geology	1988	2018
19820366	li zhaoliang	2004	127313418	geology	1990	2018
19820366	libo liu	2007	127313418	geology	1998	2018
19820366	lide tian	2010	127313418	geology	1996	2018
19820366	lin wei	2012	127313418	geology	1990	2018
19820366	lin yangting	2000	127313418	geology	1993	2018
19820366	liu qingquan	2008	127313418	geology	1997	2016
19820366	liu qingsong	2010	127313418	geology	1998	2018
19820366	liu yimin	2009	127313418	geology	1991	2018
19820366	lu riyu	2007	127313418	geology	1997	2018
19820366	ma yaoming	2008	127313418	geology	1995	2018
19820366	maoyan zhu	2007	127313418	geology	1995	2018
19820366	ninglian wang	2005	127313418	geology	1992	2017
19820366	pan yongxin	2003	127313418	geology	1998	2017
