affID	sortedName	awardYear	fieldID	fieldName	minPaperYear	maxPaperYear
126520041	chen falai	2002	33923547	mathematics	1993	2018
126520041	huang wen	2012	33923547	mathematics	2001	2017
126520041	su yucai	2008	33923547	mathematics	2000	2017
157773358	guo xianping	2009	33923547	mathematics	1999	2017
157773358	hu jianxun	2008	33923547	mathematics	2000	2017
157773358	lixin yan	2009	33923547	mathematics	1996	2017
183067930	dongmei xiao	2009	33923547	mathematics	2002	2017
19820366	aihui zhou	2004	33923547	mathematics	1994	2017
19820366	bai zhongzhi	2005	33923547	mathematics	1995	2017
19820366	cao daomin	2004	33923547	mathematics	1989	2016
19820366	cui guizhen	2011	33923547	mathematics	2000	2016
19820366	dai yuhong	2011	33923547	mathematics	1996	2018
19820366	fuzhou gong	2002	33923547	mathematics	1994	2017
19820366	guoliang xu	2001	33923547	mathematics	1988	2017
19820366	hongbo li	2009	33923547	mathematics	1997	2017
19820366	pengfei yao	2002	33923547	mathematics	1996	2017
19820366	sun xiaotao	2000	33923547	mathematics	1995	2014
20231570	chen dayue	2006	33923547	mathematics	1992	2017
20231570	gan shaobo	2010	33923547	mathematics	1998	2017
20231570	li weigu	2005	33923547	mathematics	1992	2016
20231570	liu peidong	2001	33923547	mathematics	1993	2017
24185976	liangang peng	2003	33923547	mathematics	1993	2015
24185976	weinian zhang	2008	33923547	mathematics	1999	2018
25757504	jianyong qiao	2006	33923547	mathematics	2000	2014
37461747	chen hua	2000	33923547	mathematics	1991	2018
3923682	cao yongluo	2011	33923547	mathematics	1991	2017
40963666	peng shuangjie	2011	33923547	mathematics	2002	2018
66867065	hebing rui	2010	33923547	mathematics	2000	2015
76130692	lixin zhang	2012	33923547	mathematics	1997	2017
881766915	sun zhiwei	2004	33923547	mathematics	1990	2018
99065089	baoding liu	2004	33923547	mathematics	1995	2017
99065089	junhai yong	2006	33923547	mathematics	1999	2018
99065089	meirong zhang	2003	33923547	mathematics	1995	2018
99065089	tong zhou	2006	33923547	mathematics	1995	2017
99065089	wenming zou	2010	33923547	mathematics	1998	2017
