affID	sortedName	awardYear	fieldID	fieldName	minPaperYear	maxPaperYear
139660479	chen xiaohong	2001	41008148	computer science	1995	2018
139660479	chunhua yang	2010	41008148	computer science	1999	2018
139759216	ji yuefeng	2003	41008148	computer science	1993	2018
143593769	feng qian	2006	41008148	computer science	2000	2018
149594827	jiao licheng	2002	41008148	computer science	1989	2018
149594827	li zhiwu	2011	41008148	computer science	2003	2018
157773358	fan wang	2012	41008148	computer science	2003	2018
170215575	dou yong	2011	41008148	computer science	2005	2018
183067930	fu yuxi	2002	41008148	computer science	1996	2017
183067930	guo minyi	2007	41008148	computer science	1997	2018
191208505	hong zhao	2009	41008148	computer science	1996	2017
19820366	changsheng xu	2012	41008148	computer science	1998	2018
19820366	chen xilin	2010	41008148	computer science	1993	2018
19820366	feiyue wang	2001	41008148	computer science	1990	2018
19820366	gang qin	2011	41008148	computer science	2001	2017
19820366	haibin yu	2007	41008148	computer science	1999	2018
19820366	hou zengguang	2012	41008148	computer science	2001	2018
19820366	hu weiming	2008	41008148	computer science	1990	2018
19820366	hu weiwu	2003	41008148	computer science	1996	2016
19820366	huang qingming	2010	41008148	computer science	1993	2018
19820366	lean yu	2010	41008148	computer science	2004	2017
19820366	li xuelong	2011	41008148	computer science	2002	2018
19820366	ninghui sun	2009	41008148	computer science	1993	2018
19820366	wu yirong	2007	41008148	computer science	1996	2018
19820366	yan yonghong	2009	41008148	computer science	1995	2018
20231570	guoping wang	2009	41008148	computer science	2000	2017
27357992	keqiu li	2012	41008148	computer science	2004	2018
28813325	renbiao wu	2003	41008148	computer science	1998	2018
36399199	jian yang	2011	41008148	computer science	1999	2018
37796252	baocai yin	2008	41008148	computer science	1997	2018
39333907	li xiaoli	2010	41008148	computer science	1999	2017
76130692	he xiaofei	2011	41008148	computer science	2002	2018
76130692	wu zhaohui	2005	41008148	computer science	1990	2018
76569877	baowen xu	2004	41008148	computer science	1998	2017
76569877	changyin sun	2011	41008148	computer science	2002	2018
82880672	huai jinpeng	2005	41008148	computer science	1989	2018
881766915	chen guihai	2008	41008148	computer science	1997	2018
881766915	li xuandong	2004	41008148	computer science	1995	2017
90610280	gang wei	2006	41008148	computer science	1991	2018
90610280	shengli xie	2003	41008148	computer science	1993	2014
9224756	wang xingwei	2012	41008148	computer science	2004	2018
99065089	fengyuan ren	2012	41008148	computer science	2001	2018
99065089	fuchun sun	2006	41008148	computer science	1992	2018
99065089	jiangtao wen	2011	41008148	computer science	1995	2018
99065089	jie zhou	2012	41008148	computer science	1996	2018
99065089	liu min	2010	41008148	computer science	1999	2018
99065089	niu zhisheng	2009	41008148	computer science	1995	2018
