affID	sortedName	awardYear	fieldID	fieldName	minPaperYear	maxPaperYear
119454577	jianwen zou	2012	86803240	biology	2003	2018
119454577	li xianchun	2003	86803240	biology	1995	2007
126520041	qinghua shi	2007	86803240	biology	1997	2018
157773358	qingjiong zhang	2007	86803240	biology	1992	2017
173759888	liu shaojun	2007	86803240	biology	1995	2017
19820366	bai fengyan	2008	86803240	biology	1996	2018
19820366	bai yongfei	2008	86803240	biology	2002	2018
19820366	cai zucong	2001	86803240	biology	1996	2014
19820366	changqing zeng	2002	86803240	biology	1991	2017
19820366	chen dahua	2008	86803240	biology	1999	2017
19820366	chen mingsheng	2002	86803240	biology	1996	2018
19820366	cheng zhukuan	2003	86803240	biology	1996	2018
19820366	chengcai chu	2008	86803240	biology	1998	2018
19820366	chengshu wang	2012	86803240	biology	2005	2018
19820366	chenzhu wang	2009	86803240	biology	2000	2017
19820366	chong kang	2005	86803240	biology	1994	2018
19820366	chuanyou li	2004	86803240	biology	1998	2018
19820366	chunming liu	2006	86803240	biology	2000	2017
19820366	chunyang li	2005	86803240	biology	1998	2017
19820366	dai yucheng	2004	86803240	biology	1997	2017
19820366	ding weixin	2007	86803240	biology	2002	2018
19820366	fu xiangdong	2005	86803240	biology	1998	2017
19820366	gexia qiao	2010	86803240	biology	1996	2018
19820366	guangsheng zhou	2006	86803240	biology	1996	2018
19820366	guo huishan	2005	86803240	biology	1997	2017
19820366	he jizheng	2010	86803240	biology	1997	2018
19820366	he shunping	2002	86803240	biology	1997	2018
19820366	hongqing ling	2002	86803240	biology	1987	2017
19820366	hongzhi kong	2011	86803240	biology	2000	2018
19820366	huang yongping	2008	86803240	biology	1999	2018
19820366	jianghua sun	2005	86803240	biology	1991	2017
19820366	jiaojun zhu	2010	86803240	biology	2000	2018
19820366	jinsong li	2012	86803240	biology	1989	2018
19820366	li shuqiang	2010	86803240	biology	2002	2018
19820366	li xinrong	2008	86803240	biology	2001	2017
19820366	qingyuan sun	2002	86803240	biology	1994	2017
19820366	renfang shen	2010	86803240	biology	2002	2017
19820366	runzhi zhang	2005	86803240	biology	2000	2018
19820366	wang xiaoquan	2004	86803240	biology	1997	2017
19820366	wang yonghong	2010	86803240	biology	1997	2017
19820366	weicai yang	2004	86803240	biology	1990	2017
19820366	xunhua zheng	2004	86803240	biology	1992	2018
19820366	yao yijian	2000	86803240	biology	1990	2018
20231570	he jinsheng	2010	86803240	biology	2004	2018
20231570	liping wei	2010	86803240	biology	1998	2018
20231570	sodmergen	2000	86803240	biology	1994	2017
205237279	bu wenjun	2007	86803240	biology	1996	2018
21945476	yang zhongnan	2009	86803240	biology	2004	2018
24943067	baorong lu	2001	86803240	biology	1987	2018
37461747	huang shuangquan	2008	86803240	biology	1998	2014
37461747	lu xin	2004	86803240	biology	1998	2018
37461747	mengxiang sun	2002	86803240	biology	1997	2017
37574244	li shigui	2010	86803240	biology	2000	2017
52158045	cai wanzhi	2008	86803240	biology	2001	2018
52158045	ding yang	2002	86803240	biology	1996	2017
52158045	jianbo shen	2009	86803240	biology	1999	2018
52158045	jinsheng lai	2012	86803240	biology	2004	2018
52158045	liu zhiyong	2004	86803240	biology	1998	2017
52158045	ni zhongfu	2009	86803240	biology	1998	2018
52158045	yaofeng zhao	2007	86803240	biology	1998	2016
58200834	xiangmin xu	2003	86803240	biology	1995	2017
66867065	ruiliang zhu	2008	86803240	biology	1996	2018
76130692	fucheng lin	2009	86803240	biology	2000	2017
76130692	gongyin ye	2010	86803240	biology	1999	2016
99065089	xuegong zhang	2006	86803240	biology	1993	2017
